Date,% GDP growth,% Price growth
1947-01-01,,
1947-04-01,-1.066765827,9.683426443
1947-07-01,-0.825985296,4.181818182
1947-10-01,6.256832383,12.2357175
1948-01-01,6.017022018,13.44391096
1948-04-01,6.602630755,2.364864865
1948-07-01,2.291589049,9.739714526
1948-10-01,0.446966564,-1.475409836
1949-01-01,-5.511805491,-4.93624023
1949-04-01,-1.364386325,-1.49937526
1949-07-01,4.12966193,-3.678929766
1949-10-01,-3.357100136,-0.506329114
1950-01-01,15.72048247,-2.703844529
1950-04-01,12.19934165,2.381965121
1950-07-01,15.45755798,7.10359408
1950-10-01,7.659051859,7.145824678
1951-01-01,5.432655937,14.36734694
1951-04-01,6.930942268,8.510638298
1951-07-01,8.243930764,-0.154320988
1951-10-01,0.880962424,3.859513701
1952-01-01,4.274194511,4.434250765
1952-04-01,0.861545728,0.151228733
1952-07-01,2.887484869,3.325774754
1952-10-01,13.13679101,0.149925037
1953-01-01,7.435416392,-0.749344324
1953-04-01,3.091937854,0.750750751
1953-07-01,-2.250774173,1.498688647
1953-10-01,-6.055904929,2.388951101
1954-01-01,-1.912050485,-0.148423006
1954-04-01,0.435964834,-1.187824796
1954-07-01,4.51745674,0
1954-10-01,7.826732339,-2.084884587
1955-01-01,11.42499463,0.748502994
1955-04-01,6.508716727,0.298841987
1955-07-01,5.401911446,-0.447928331
1955-10-01,2.401299283,0.896860987
1956-01-01,-1.553622942,0.149142431
1956-04-01,3.305333146,1.490868431
1956-07-01,-0.359330729,5.347196435
1956-10-01,6.583716092,3.224624405
1957-01-01,2.561567938,2.326426754
1957-04-01,-0.87640644,3.758583303
1957-07-01,3.919531441,3.723594701
1957-10-01,-4.138353302,1.844625754
1958-01-01,-10.38338963,4.519774011
1958-04-01,2.629483662,4.189944134
1958-07-01,9.255416136,-0.691085003
1958-10-01,9.35722142,0.276912426
1959-01-01,7.685193196,1.383604289
1959-04-01,9.0256815,-0.413650465
1959-07-01,0.284803188,2.346445825
1959-10-01,1.140155128,2.744425386
1960-01-01,8.98919051,0.272572402
1960-04-01,-2.157547095,2.315287709
1960-07-01,1.957098765,0.135409614
1960-10-01,-5.133735834,2.707275804
1961-01-01,2.700116243,1.210084034
1961-04-01,6.789914396,-0.402144772
1961-07-01,7.67855756,1.47601476
1961-10-01,7.844437243,0.802139037
1962-01-01,7.134396771,0.800533689
1962-04-01,3.614687088,2.263648469
1962-07-01,4.914031072,0.132406488
1962-10-01,1.315442775,2.11780278
1963-01-01,4.36642191,0.789993417
1963-04-01,4.488495665,0.525624179
1963-07-01,8.793703495,2.755905512
1963-10-01,2.622383501,0.782013685
